1053 Total Scenarios Tested.
974 Passed Scenarios (92.4976%)
79 Failed Scenarios (7.50237%)
---------
PASS: Zone C, inDir NORTH, Links B-BB -- 
PASS: Zone C, inDir EAST , Links *-** -- 
PASS: Zone C, inDir EAST , Links *-*F -- 
PASS: Zone C, inDir EAST , Links *-*B -- 
PASS: Zone C, inDir EAST , Links *-F* -- 
PASS: Zone C, inDir EAST , Links *-FF -- 
PASS: Zone C, inDir EAST , Links *-FB -- 
PASS: Zone C, inDir EAST , Links *-B* -- 
PASS: Zone C, inDir EAST , Links *-BF -- 
PASS: Zone C, inDir EAST , Links *-BB -- 
PASS: Zone C, inDir EAST , Links F-** -- 
PASS: Zone C, inDir EAST , Links F-*F -- 
PASS: Zone C, inDir EAST , Links F-*B -- 
PASS: Zone C, inDir EAST , Links F-F* -- 
PASS: Zone C, inDir EAST , Links F-FF -- 
PASS: Zone C, inDir EAST , Links F-FB -- 
PASS: Zone C, inDir EAST , Links F-B* -- 
PASS: Zone C, inDir EAST , Links F-BF -- 
PASS: Zone C, inDir EAST , Links F-BB -- 
PASS: Zone C, inDir EAST , Links B-** -- 
PASS: Zone C, inDir EAST , Links B-*F -- 
PASS: Zone C, inDir EAST , Links B-*B -- 
PASS: Zone C, inDir EAST , Links B-F* -- 
PASS: Zone C, inDir EAST , Links B-FF -- 
PASS: Zone C, inDir EAST , Links B-FB -- 
PASS: Zone C, inDir EAST , Links B-B* -- 
PASS: Zone C, inDir EAST , Links B-BF -- 
PASS: Zone C, inDir EAST , Links B-BB -- 
PASS: Zone C, inDir WEST , Links *-** -- 
PASS: Zone C, inDir WEST , Links *-*F -- 
PASS: Zone C, inDir WEST , Links *-*B -- 
PASS: Zone C, inDir WEST , Links *-F* -- 
PASS: Zone C, inDir WEST , Links *-FF -- 
PASS: Zone C, inDir WEST , Links *-FB -- 
PASS: Zone C, inDir WEST , Links *-B* -- 
PASS: Zone C, inDir WEST , Links *-BF -- 
PASS: Zone C, inDir WEST , Links *-BB -- 
PASS: Zone C, inDir WEST , Links F-** -- 
PASS: Zone C, inDir WEST , Links F-*F -- 
FAIL: Zone C, inDir WEST , Links F-*B -- 
PASS: Zone C, inDir WEST , Links F-F* -- 
PASS: Zone C, inDir WEST , Links F-FF -- 
FAIL: Zone C, inDir WEST , Links F-FB -- 
PASS: Zone C, inDir WEST , Links F-B* -- 
PASS: Zone C, inDir WEST , Links F-BF -- 
FAIL: Zone C, inDir WEST , Links F-BB -- 
PASS: Zone C, inDir WEST , Links B-** -- 
PASS: Zone C, inDir WEST , Links B-*F -- 
PASS: Zone C, inDir WEST , Links B-*B -- 
PASS: Zone C, inDir WEST , Links B-F* -- 
PASS: Zone C, inDir WEST , Links B-FF -- 
PASS: Zone C, inDir WEST , Links B-FB -- 
PASS: Zone C, inDir WEST , Links B-B* -- 
PASS: Zone C, inDir WEST , Links B-BF -- 
PASS: Zone C, inDir WEST , Links B-BB -- 
PASS: Zone J, inDir NORTH, Links *-** NE 
PASS: Zone J, inDir NORTH, Links *-** -- 
PASS: Zone J, inDir NORTH, Links *-*F NE 
PASS: Zone J, inDir NORTH, Links *-*F -- 
PASS: Zone J, inDir NORTH, Links *-*B NE 
PASS: Zone J, inDir NORTH, Links *-*B -- 
PASS: Zone J, inDir NORTH, Links *-F* NE 
PASS: Zone J, inDir NORTH, Links *-F* -- 
PASS: Zone J, inDir NORTH, Links *-FF NE 
PASS: Zone J, inDir NORTH, Links *-FF -- 
PASS: Zone J, inDir NORTH, Links *-FB NE 
PASS: Zone J, inDir NORTH, Links *-FB -- 
PASS: Zone J, inDir NORTH, Links *-B* NE 
PASS: Zone J, inDir NORTH, Links *-B* -- 
PASS: Zone J, inDir NORTH, Links *-BF NE 
PASS: Zone J, inDir NORTH, Links *-BF -- 
PASS: Zone J, inDir NORTH, Links *-BB NE 
PASS: Zone J, inDir NORTH, Links *-BB -- 
PASS: Zone J, inDir NORTH, Links F-** NE 
PASS: Zone J, inDir NORTH, Links F-** -- 
PASS: Zone J, inDir NORTH, Links F-*F NE 
PASS: Zone J, inDir NORTH, Links F-*F -- 
PASS: Zone J, inDir NORTH, Links F-*B NE 
PASS: Zone J, inDir NORTH, Links F-*B -- 
PASS: Zone J, inDir NORTH, Links F-F* NE 
PASS: Zone J, inDir NORTH, Links F-F* -- 
PASS: Zone J, inDir NORTH, Links F-FF NE 
PASS: Zone J, inDir NORTH, Links F-FF -- 
PASS: Zone J, inDir NORTH, Links F-FB NE 
PASS: Zone J, inDir NORTH, Links F-FB -- 
PASS: Zone J, inDir NORTH, Links F-B* NE 
PASS: Zone J, inDir NORTH, Links F-B* -- 
PASS: Zone J, inDir NORTH, Links F-BF NE 
PASS: Zone J, inDir NORTH, Links F-BF -- 
PASS: Zone J, inDir NORTH, Links F-BB NE 
PASS: Zone J, inDir NORTH, Links F-BB -- 
PASS: Zone J, inDir NORTH, Links B-** NE 
PASS: Zone J, inDir NORTH, Links B-** -- 
PASS: Zone J, inDir NORTH, Links B-*F NE 
PASS: Zone J, inDir NORTH, Links B-*F -- 
PASS: Zone J, inDir NORTH, Links B-*B NE 
PASS: Zone J, inDir NORTH, Links B-*B -- 
PASS: Zone J, inDir NORTH, Links B-F* NE 
PASS: Zone J, inDir NORTH, Links B-F* -- 
PASS: Zone J, inDir NORTH, Links B-FF NE 
PASS: Zone J, inDir NORTH, Links B-FF -- 
PASS: Zone J, inDir NORTH, Links B-FB NE 
PASS: Zone J, inDir NORTH, Links B-FB -- 
PASS: Zone J, inDir NORTH, Links B-B* NE 
PASS: Zone J, inDir NORTH, Links B-B* -- 
PASS: Zone J, inDir NORTH, Links B-BF NE 
PASS: Zone J, inDir NORTH, Links B-BF -- 
PASS: Zone J, inDir NORTH, Links B-BB NE 
PASS: Zone J, inDir NORTH, Links B-BB -- 
PASS: Zone J, inDir EAST , Links *-** NE 
PASS: Zone J, inDir EAST , Links *-** -- 
PASS: Zone J, inDir EAST , Links *-*F NE 
PASS: Zone J, inDir EAST , Links *-*F -- 
PASS: Zone J, inDir EAST , Links *-*B NE 
PASS: Zone J, inDir EAST , Links *-*B -- 
PASS: Zone J, inDir EAST , Links *-F* NE 
PASS: Zone J, inDir EAST , Links *-F* -- 
PASS: Zone J, inDir EAST , Links *-FF NE 
PASS: Zone J, inDir EAST , Links *-FF -- 
PASS: Zone J, inDir EAST , Links *-FB NE 
PASS: Zone J, inDir EAST , Links *-FB -- 
PASS: Zone J, inDir EAST , Links *-B* NE 
PASS: Zone J, inDir EAST , Links *-B* -- 
PASS: Zone J, inDir EAST , Links *-BF NE 
PASS: Zone J, inDir EAST , Links *-BF -- 
PASS: Zone J, inDir EAST , Links *-BB NE 
PASS: Zone J, inDir EAST , Links *-BB -- 
PASS: Zone J, inDir EAST , Links F-** NE 
PASS: Zone J, inDir EAST , Links F-** -- 
PASS: Zone J, inDir EAST , Links F-*F NE 
PASS: Zone J, inDir EAST , Links F-*F -- 
PASS: Zone J, inDir EAST , Links F-*B NE 
PASS: Zone J, inDir EAST , Links F-*B -- 
PASS: Zone J, inDir EAST , Links F-F* NE 
PASS: Zone J, inDir EAST , Links F-F* -- 
PASS: Zone J, inDir EAST , Links F-FF NE 
PASS: Zone J, inDir EAST , Links F-FF -- 
PASS: Zone J, inDir EAST , Links F-FB NE 
PASS: Zone J, inDir EAST , Links F-FB -- 
PASS: Zone J, inDir EAST , Links F-B* NE 
PASS: Zone J, inDir EAST , Links F-B* -- 
PASS: Zone J, inDir EAST , Links F-BF NE 
PASS: Zone J, inDir EAST , Links F-BF -- 
PASS: Zone J, inDir EAST , Links F-BB NE 
PASS: Zone J, inDir EAST , Links F-BB -- 
PASS: Zone J, inDir EAST , Links B-** NE 
PASS: Zone J, inDir EAST , Links B-** -- 
PASS: Zone J, inDir EAST , Links B-*F NE 
PASS: Zone J, inDir EAST , Links B-*F -- 
PASS: Zone J, inDir EAST , Links B-*B NE 
PASS: Zone J, inDir EAST , Links B-*B -- 
PASS: Zone J, inDir EAST , Links B-F* NE 
PASS: Zone J, inDir EAST , Links B-F* -- 
PASS: Zone J, inDir EAST , Links B-FF NE 
PASS: Zone J, inDir EAST , Links B-FF -- 
PASS: Zone J, inDir EAST , Links B-FB NE 
PASS: Zone J, inDir EAST , Links B-FB -- 
PASS: Zone J, inDir EAST , Links B-B* NE 
PASS: Zone J, inDir EAST , Links B-B* -- 
PASS: Zone J, inDir EAST , Links B-BF NE 
PASS: Zone J, inDir EAST , Links B-BF -- 
PASS: Zone J, inDir EAST , Links B-BB NE 
PASS: Zone J, inDir EAST , Links B-BB -- 
PASS: Zone J, inDir WEST , Links *-** NE 
PASS: Zone J, inDir WEST , Links *-** -- 
PASS: Zone J, inDir WEST , Links *-*F NE 
PASS: Zone J, inDir WEST , Links *-*F -- 
FAIL: Zone J, inDir WEST , Links *-*B NE 
FAIL: Zone J, inDir WEST , Links *-*B -- 
PASS: Zone J, inDir WEST , Links *-F* NE 
PASS: Zone J, inDir WEST , Links *-F* -- 
PASS: Zone J, inDir WEST , Links *-FF NE 
PASS: Zone J, inDir WEST , Links *-FF -- 
FAIL: Zone J, inDir WEST , Links *-FB NE 
FAIL: Zone J, inDir WEST , Links *-FB -- 
PASS: Zone J, inDir WEST , Links *-B* NE 
PASS: Zone J, inDir WEST , Links *-B* -- 
PASS: Zone J, inDir WEST , Links *-BF NE 
PASS: Zone J, inDir WEST , Links *-BF -- 
FAIL: Zone J, inDir WEST , Links *-BB NE 
FAIL: Zone J, inDir WEST , Links *-BB -- 
PASS: Zone J, inDir WEST , Links F-** NE 
PASS: Zone J, inDir WEST , Links F-** -- 
PASS: Zone J, inDir WEST , Links F-*F NE 
PASS: Zone J, inDir WEST , Links F-*F -- 
FAIL: Zone J, inDir WEST , Links F-*B NE 
FAIL: Zone J, inDir WEST , Links F-*B -- 
PASS: Zone J, inDir WEST , Links F-F* NE 
PASS: Zone J, inDir WEST , Links F-F* -- 
PASS: Zone J, inDir WEST , Links F-FF NE 
PASS: Zone J, inDir WEST , Links F-FF -- 
FAIL: Zone J, inDir WEST , Links F-FB NE 
FAIL: Zone J, inDir WEST , Links F-FB -- 
PASS: Zone J, inDir WEST , Links F-B* NE 
PASS: Zone J, inDir WEST , Links F-B* -- 
PASS: Zone J, inDir WEST , Links F-BF NE 
PASS: Zone J, inDir WEST , Links F-BF -- 
FAIL: Zone J, inDir WEST , Links F-BB NE 
FAIL: Zone J, inDir WEST , Links F-BB -- 
PASS: Zone J, inDir WEST , Links B-** NE 
PASS: Zone J, inDir WEST , Links B-** -- 
PASS: Zone J, inDir WEST , Links B-*F NE 
PASS: Zone J, inDir WEST , Links B-*F -- 
FAIL: Zone J, inDir WEST , Links B-*B NE 
FAIL: Zone J, inDir WEST , Links B-*B -- 
PASS: Zone J, inDir WEST , Links B-F* NE 
PASS: Zone J, inDir WEST , Links B-F* -- 
PASS: Zone J, inDir WEST , Links B-FF NE 
PASS: Zone J, inDir WEST , Links B-FF -- 
FAIL: Zone J, inDir WEST , Links B-FB NE 
FAIL: Zone J, inDir WEST , Links B-FB -- 
