324 Total Scenarios Tested.
324 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone M, inDir NORTH, Links *F-- -- 
PASS: Zone M, inDir NORTH, Links *B-- NE 
PASS: Zone M, inDir NORTH, Links *B-- -- 
PASS: Zone M, inDir NORTH, Links F*-- NE 
PASS: Zone M, inDir NORTH, Links F*-- -- 
PASS: Zone M, inDir NORTH, Links FF-- NE 
PASS: Zone M, inDir NORTH, Links FF-- -- 
PASS: Zone M, inDir NORTH, Links FB-- NE 
PASS: Zone M, inDir NORTH, Links FB-- -- 
PASS: Zone M, inDir NORTH, Links B*-- NE 
PASS: Zone M, inDir NORTH, Links B*-- -- 
PASS: Zone M, inDir NORTH, Links BF-- NE 
PASS: Zone M, inDir NORTH, Links BF-- -- 
PASS: Zone M, inDir NORTH, Links BB-- NE 
PASS: Zone M, inDir NORTH, Links BB-- -- 
PASS: Zone M, inDir EAST , Links **-- NE 
PASS: Zone M, inDir EAST , Links **-- -- 
PASS: Zone M, inDir EAST , Links *F-- NE 
PASS: Zone M, inDir EAST , Links *F-- -- 
PASS: Zone M, inDir EAST , Links *B-- NE 
PASS: Zone M, inDir EAST , Links *B-- -- 
PASS: Zone M, inDir EAST , Links F*-- NE 
PASS: Zone M, inDir EAST , Links F*-- -- 
PASS: Zone M, inDir EAST , Links FF-- NE 
PASS: Zone M, inDir EAST , Links FF-- -- 
PASS: Zone M, inDir EAST , Links FB-- NE 
PASS: Zone M, inDir EAST , Links FB-- -- 
PASS: Zone M, inDir EAST , Links B*-- NE 
PASS: Zone M, inDir EAST , Links B*-- -- 
PASS: Zone M, inDir EAST , Links BF-- NE 
PASS: Zone M, inDir EAST , Links BF-- -- 
PASS: Zone M, inDir EAST , Links BB-- NE 
PASS: Zone M, inDir EAST , Links BB-- -- 
PASS: Zone P, inDir NORTH, Links **-- NE 
PASS: Zone P, inDir NORTH, Links **-- -- 
PASS: Zone P, inDir NORTH, Links *F-- NE 
PASS: Zone P, inDir NORTH, Links *F-- -- 
PASS: Zone P, inDir NORTH, Links *B-- NE 
PASS: Zone P, inDir NORTH, Links *B-- -- 
PASS: Zone P, inDir NORTH, Links F*-- NE 
PASS: Zone P, inDir NORTH, Links F*-- -- 
PASS: Zone P, inDir NORTH, Links FF-- NE 
PASS: Zone P, inDir NORTH, Links FF-- -- 
PASS: Zone P, inDir NORTH, Links FB-- NE 
PASS: Zone P, inDir NORTH, Links FB-- -- 
PASS: Zone P, inDir NORTH, Links B*-- NE 
PASS: Zone P, inDir NORTH, Links B*-- -- 
PASS: Zone P, inDir NORTH, Links BF-- NE 
PASS: Zone P, inDir NORTH, Links BF-- -- 
PASS: Zone P, inDir NORTH, Links BB-- NE 
PASS: Zone P, inDir NORTH, Links BB-- -- 
PASS: Zone P, inDir EAST , Links **-- NE 
PASS: Zone P, inDir EAST , Links **-- -- 
PASS: Zone P, inDir EAST , Links *F-- NE 
PASS: Zone P, inDir EAST , Links *F-- -- 
PASS: Zone P, inDir EAST , Links *B-- NE 
