1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone F, inDir SOUTH, Links *B-* NE 
PASS: Zone F, inDir SOUTH, Links *B-* -- 
PASS: Zone F, inDir SOUTH, Links *B-F NE 
PASS: Zone F, inDir SOUTH, Links *B-F -- 
PASS: Zone F, inDir SOUTH, Links *B-B NE 
PASS: Zone F, inDir SOUTH, Links *B-B -- 
PASS: Zone F, inDir SOUTH, Links F*-* NE 
PASS: Zone F, inDir SOUTH, Links F*-* -- 
PASS: Zone F, inDir SOUTH, Links F*-F NE 
PASS: Zone F, inDir SOUTH, Links F*-F -- 
PASS: Zone F, inDir SOUTH, Links F*-B NE 
PASS: Zone F, inDir SOUTH, Links F*-B -- 
PASS: Zone F, inDir SOUTH, Links FF-* NE 
PASS: Zone F, inDir SOUTH, Links FF-* -- 
PASS: Zone F, inDir SOUTH, Links FF-F NE 
PASS: Zone F, inDir SOUTH, Links FF-F -- 
PASS: Zone F, inDir SOUTH, Links FF-B NE 
PASS: Zone F, inDir SOUTH, Links FF-B -- 
PASS: Zone F, inDir SOUTH, Links FB-* NE 
PASS: Zone F, inDir SOUTH, Links FB-* -- 
PASS: Zone F, inDir SOUTH, Links FB-F NE 
PASS: Zone F, inDir SOUTH, Links FB-F -- 
PASS: Zone F, inDir SOUTH, Links FB-B NE 
PASS: Zone F, inDir SOUTH, Links FB-B -- 
PASS: Zone F, inDir SOUTH, Links B*-* NE 
PASS: Zone F, inDir SOUTH, Links B*-* -- 
PASS: Zone F, inDir SOUTH, Links B*-F NE 
PASS: Zone F, inDir SOUTH, Links B*-F -- 
PASS: Zone F, inDir SOUTH, Links B*-B NE 
PASS: Zone F, inDir SOUTH, Links B*-B -- 
PASS: Zone F, inDir SOUTH, Links BF-* NE 
PASS: Zone F, inDir SOUTH, Links BF-* -- 
PASS: Zone F, inDir SOUTH, Links BF-F NE 
PASS: Zone F, inDir SOUTH, Links BF-F -- 
PASS: Zone F, inDir SOUTH, Links BF-B NE 
PASS: Zone F, inDir SOUTH, Links BF-B -- 
PASS: Zone F, inDir SOUTH, Links BB-* NE 
PASS: Zone F, inDir SOUTH, Links BB-* -- 
PASS: Zone F, inDir SOUTH, Links BB-F NE 
PASS: Zone F, inDir SOUTH, Links BB-F -- 
PASS: Zone F, inDir SOUTH, Links BB-B NE 
PASS: Zone F, inDir SOUTH, Links BB-B -- 
PASS: Zone G, inDir NORTH, Links **-* NE 
PASS: Zone G, inDir NORTH, Links **-* -- 
PASS: Zone G, inDir NORTH, Links **-F NE 
PASS: Zone G, inDir NORTH, Links **-F -- 
PASS: Zone G, inDir NORTH, Links **-B NE 
PASS: Zone G, inDir NORTH, Links **-B -- 
PASS: Zone G, inDir NORTH, Links *F-* NE 
PASS: Zone G, inDir NORTH, Links *F-* -- 
PASS: Zone G, inDir NORTH, Links *F-F NE 
PASS: Zone G, inDir NORTH, Links *F-F -- 
PASS: Zone G, inDir NORTH, Links *F-B NE 
PASS: Zone G, inDir NORTH, Links *F-B -- 
PASS: Zone G, inDir NORTH, Links *B-* NE 
PASS: Zone G, inDir NORTH, Links *B-* -- 
PASS: Zone G, inDir NORTH, Links *B-F NE 
PASS: Zone G, inDir NORTH, Links *B-F -- 
PASS: Zone G, inDir NORTH, Links *B-B NE 
PASS: Zone G, inDir NORTH, Links *B-B -- 
PASS: Zone G, inDir NORTH, Links F*-* NE 
PASS: Zone G, inDir NORTH, Links F*-* -- 
PASS: Zone G, inDir NORTH, Links F*-F NE 
PASS: Zone G, inDir NORTH, Links F*-F -- 
PASS: Zone G, inDir NORTH, Links F*-B NE 
PASS: Zone G, inDir NORTH, Links F*-B -- 
PASS: Zone G, inDir NORTH, Links FF-* NE 
PASS: Zone G, inDir NORTH, Links FF-* -- 
PASS: Zone G, inDir NORTH, Links FF-F NE 
PASS: Zone G, inDir NORTH, Links FF-F -- 
PASS: Zone G, inDir NORTH, Links FF-B NE 
PASS: Zone G, inDir NORTH, Links FF-B -- 
PASS: Zone G, inDir NORTH, Links FB-* NE 
PASS: Zone G, inDir NORTH, Links FB-* -- 
