1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone E, inDir EAST , Links FBB- -- 
PASS: Zone E, inDir EAST , Links B**- -- 
PASS: Zone E, inDir EAST , Links B*F- -- 
PASS: Zone E, inDir EAST , Links B*B- -- 
PASS: Zone E, inDir EAST , Links BF*- -- 
PASS: Zone E, inDir EAST , Links BFF- -- 
PASS: Zone E, inDir EAST , Links BFB- -- 
PASS: Zone E, inDir EAST , Links BB*- -- 
PASS: Zone E, inDir EAST , Links BBF- -- 
PASS: Zone E, inDir EAST , Links BBB- -- 
PASS: Zone E, inDir WEST , Links ***- -- 
PASS: Zone E, inDir WEST , Links **F- -- 
PASS: Zone E, inDir WEST , Links **B- -- 
PASS: Zone E, inDir WEST , Links *F*- -- 
PASS: Zone E, inDir WEST , Links *FF- -- 
PASS: Zone E, inDir WEST , Links *FB- -- 
PASS: Zone E, inDir WEST , Links *B*- -- 
PASS: Zone E, inDir WEST , Links *BF- -- 
PASS: Zone E, inDir WEST , Links *BB- -- 
PASS: Zone E, inDir WEST , Links F**- -- 
PASS: Zone E, inDir WEST , Links F*F- -- 
PASS: Zone E, inDir WEST , Links F*B- -- 
PASS: Zone E, inDir WEST , Links FF*- -- 
PASS: Zone E, inDir WEST , Links FFF- -- 
PASS: Zone E, inDir WEST , Links FFB- -- 
PASS: Zone E, inDir WEST , Links FB*- -- 
PASS: Zone E, inDir WEST , Links FBF- -- 
PASS: Zone E, inDir WEST , Links FBB- -- 
PASS: Zone E, inDir WEST , Links B**- -- 
PASS: Zone E, inDir WEST , Links B*F- -- 
PASS: Zone E, inDir WEST , Links B*B- -- 
PASS: Zone E, inDir WEST , Links BF*- -- 
PASS: Zone E, inDir WEST , Links BFF- -- 
PASS: Zone E, inDir WEST , Links BFB- -- 
PASS: Zone E, inDir WEST , Links BB*- -- 
PASS: Zone E, inDir WEST , Links BBF- -- 
PASS: Zone E, inDir WEST , Links BBB- -- 
PASS: Zone F, inDir NORTH, Links ***- NE 
PASS: Zone F, inDir NORTH, Links ***- -- 
PASS: Zone F, inDir NORTH, Links **F- NE 
PASS: Zone F, inDir NORTH, Links **F- -- 
PASS: Zone F, inDir NORTH, Links **B- NE 
PASS: Zone F, inDir NORTH, Links **B- -- 
PASS: Zone F, inDir NORTH, Links *F*- NE 
PASS: Zone F, inDir NORTH, Links *F*- -- 
PASS: Zone F, inDir NORTH, Links *FF- NE 
PASS: Zone F, inDir NORTH, Links *FF- -- 
PASS: Zone F, inDir NORTH, Links *FB- NE 
PASS: Zone F, inDir NORTH, Links *FB- -- 
PASS: Zone F, inDir NORTH, Links *B*- NE 
PASS: Zone F, inDir NORTH, Links *B*- -- 
PASS: Zone F, inDir NORTH, Links *BF- NE 
PASS: Zone F, inDir NORTH, Links *BF- -- 
PASS: Zone F, inDir NORTH, Links *BB- NE 
PASS: Zone F, inDir NORTH, Links *BB- -- 
PASS: Zone F, inDir NORTH, Links F**- NE 
PASS: Zone F, inDir NORTH, Links F**- -- 
PASS: Zone F, inDir NORTH, Links F*F- NE 
PASS: Zone F, inDir NORTH, Links F*F- -- 
PASS: Zone F, inDir NORTH, Links F*B- NE 
PASS: Zone F, inDir NORTH, Links F*B- -- 
PASS: Zone F, inDir NORTH, Links FF*- NE 
PASS: Zone F, inDir NORTH, Links FF*- -- 
PASS: Zone F, inDir NORTH, Links FFF- NE 
PASS: Zone F, inDir NORTH, Links FFF- -- 
PASS: Zone F, inDir NORTH, Links FFB- NE 
PASS: Zone F, inDir NORTH, Links FFB- -- 
PASS: Zone F, inDir NORTH, Links FB*- NE 
PASS: Zone F, inDir NORTH, Links FB*- -- 
PASS: Zone F, inDir NORTH, Links FBF- NE 
PASS: Zone F, inDir NORTH, Links FBF- -- 
PASS: Zone F, inDir NORTH, Links FBB- NE 
PASS: Zone F, inDir NORTH, Links FBB- -- 
PASS: Zone F, inDir NORTH, Links B**- NE 
PASS: Zone F, inDir NORTH, Links B**- -- 
PASS: Zone F, inDir NORTH, Links B*F- NE 
PASS: Zone F, inDir NORTH, Links B*F- -- 
PASS: Zone F, inDir NORTH, Links B*B- NE 
PASS: Zone F, inDir NORTH, Links B*B- -- 
PASS: Zone F, inDir NORTH, Links BF*- NE 
PASS: Zone F, inDir NORTH, Links BF*- -- 
PASS: Zone F, inDir NORTH, Links BFF- NE 
PASS: Zone F, inDir NORTH, Links BFF- -- 
PASS: Zone F, inDir NORTH, Links BFB- NE 
PASS: Zone F, inDir NORTH, Links BFB- -- 
PASS: Zone F, inDir NORTH, Links BB*- NE 
PASS: Zone F, inDir NORTH, Links BB*- -- 
PASS: Zone F, inDir NORTH, Links BBF- NE 
PASS: Zone F, inDir NORTH, Links BBF- -- 
PASS: Zone F, inDir NORTH, Links BBB- NE 
PASS: Zone F, inDir NORTH, Links BBB- -- 
PASS: Zone F, inDir EAST , Links ***- NE 
PASS: Zone F, inDir EAST , Links ***- -- 
PASS: Zone F, inDir EAST , Links **F- NE 
PASS: Zone F, inDir EAST , Links **F- -- 
PASS: Zone F, inDir EAST , Links **B- NE 
PASS: Zone F, inDir EAST , Links **B- -- 
PASS: Zone F, inDir EAST , Links *F*- NE 
PASS: Zone F, inDir EAST , Links *F*- -- 
PASS: Zone F, inDir EAST , Links *FF- NE 
PASS: Zone F, inDir EAST , Links *FF- -- 
PASS: Zone F, inDir EAST , Links *FB- NE 
PASS: Zone F, inDir EAST , Links *FB- -- 
PASS: Zone F, inDir EAST , Links *B*- NE 
PASS: Zone F, inDir EAST , Links *B*- -- 
PASS: Zone F, inDir EAST , Links *BF- NE 
PASS: Zone F, inDir EAST , Links *BF- -- 
PASS: Zone F, inDir EAST , Links *BB- NE 
PASS: Zone F, inDir EAST , Links *BB- -- 
PASS: Zone F, inDir EAST , Links F**- NE 
PASS: Zone F, inDir EAST , Links F**- -- 
PASS: Zone F, inDir EAST , Links F*F- NE 
PASS: Zone F, inDir EAST , Links F*F- -- 
PASS: Zone F, inDir EAST , Links F*B- NE 
PASS: Zone F, inDir EAST , Links F*B- -- 
PASS: Zone F, inDir EAST , Links FF*- NE 
PASS: Zone F, inDir EAST , Links FF*- -- 
PASS: Zone F, inDir EAST , Links FFF- NE 
PASS: Zone F, inDir EAST , Links FFF- -- 
PASS: Zone F, inDir EAST , Links FFB- NE 
PASS: Zone F, inDir EAST , Links FFB- -- 
PASS: Zone F, inDir EAST , Links FB*- NE 
PASS: Zone F, inDir EAST , Links FB*- -- 
PASS: Zone F, inDir EAST , Links FBF- NE 
PASS: Zone F, inDir EAST , Links FBF- -- 
PASS: Zone F, inDir EAST , Links FBB- NE 
PASS: Zone F, inDir EAST , Links FBB- -- 
PASS: Zone F, inDir EAST , Links B**- NE 
PASS: Zone F, inDir EAST , Links B**- -- 
PASS: Zone F, inDir EAST , Links B*F- NE 
PASS: Zone F, inDir EAST , Links B*F- -- 
PASS: Zone F, inDir EAST , Links B*B- NE 
PASS: Zone F, inDir EAST , Links B*B- -- 
PASS: Zone F, inDir EAST , Links BF*- NE 
PASS: Zone F, inDir EAST , Links BF*- -- 
PASS: Zone F, inDir EAST , Links BFF- NE 
PASS: Zone F, inDir EAST , Links BFF- -- 
PASS: Zone F, inDir EAST , Links BFB- NE 
PASS: Zone F, inDir EAST , Links BFB- -- 
PASS: Zone F, inDir EAST , Links BB*- NE 
PASS: Zone F, inDir EAST , Links BB*- -- 
PASS: Zone F, inDir EAST , Links BBF- NE 
PASS: Zone F, inDir EAST , Links BBF- -- 
PASS: Zone F, inDir EAST , Links BBB- NE 
PASS: Zone F, inDir EAST , Links BBB- -- 
PASS: Zone F, inDir WEST , Links ***- NE 
PASS: Zone F, inDir WEST , Links ***- -- 
PASS: Zone F, inDir WEST , Links **F- NE 
PASS: Zone F, inDir WEST , Links **F- -- 
PASS: Zone F, inDir WEST , Links **B- NE 
PASS: Zone F, inDir WEST , Links **B- -- 
PASS: Zone F, inDir WEST , Links *F*- NE 
PASS: Zone F, inDir WEST , Links *F*- -- 
PASS: Zone F, inDir WEST , Links *FF- NE 
PASS: Zone F, inDir WEST , Links *FF- -- 
PASS: Zone F, inDir WEST , Links *FB- NE 
PASS: Zone F, inDir WEST , Links *FB- -- 
PASS: Zone F, inDir WEST , Links *B*- NE 
PASS: Zone F, inDir WEST , Links *B*- -- 
PASS: Zone F, inDir WEST , Links *BF- NE 
PASS: Zone F, inDir WEST , Links *BF- -- 
PASS: Zone F, inDir WEST , Links *BB- NE 
PASS: Zone F, inDir WEST , Links *BB- -- 
PASS: Zone F, inDir WEST , Links F**- NE 
PASS: Zone F, inDir WEST , Links F**- -- 
PASS: Zone F, inDir WEST , Links F*F- NE 
PASS: Zone F, inDir WEST , Links F*F- -- 
PASS: Zone F, inDir WEST , Links F*B- NE 
PASS: Zone F, inDir WEST , Links F*B- -- 
PASS: Zone F, inDir WEST , Links FF*- NE 
PASS: Zone F, inDir WEST , Links FF*- -- 
PASS: Zone F, inDir WEST , Links FFF- NE 
PASS: Zone F, inDir WEST , Links FFF- -- 
PASS: Zone F, inDir WEST , Links FFB- NE 
PASS: Zone F, inDir WEST , Links FFB- -- 
PASS: Zone F, inDir WEST , Links FB*- NE 
PASS: Zone F, inDir WEST , Links FB*- -- 
PASS: Zone F, inDir WEST , Links FBF- NE 
PASS: Zone F, inDir WEST , Links FBF- -- 
PASS: Zone F, inDir WEST , Links FBB- NE 
PASS: Zone F, inDir WEST , Links FBB- -- 
PASS: Zone F, inDir WEST , Links B**- NE 
PASS: Zone F, inDir WEST , Links B**- -- 
PASS: Zone F, inDir WEST , Links B*F- NE 
PASS: Zone F, inDir WEST , Links B*F- -- 
PASS: Zone F, inDir WEST , Links B*B- NE 
PASS: Zone F, inDir WEST , Links B*B- -- 
PASS: Zone F, inDir WEST , Links BF*- NE 
PASS: Zone F, inDir WEST , Links BF*- -- 
PASS: Zone F, inDir WEST , Links BFF- NE 
PASS: Zone F, inDir WEST , Links BFF- -- 
PASS: Zone F, inDir WEST , Links BFB- NE 
PASS: Zone F, inDir WEST , Links BFB- -- 
PASS: Zone F, inDir WEST , Links BB*- NE 
PASS: Zone F, inDir WEST , Links BB*- -- 
PASS: Zone F, inDir WEST , Links BBF- NE 
PASS: Zone F, inDir WEST , Links BBF- -- 
PASS: Zone F, inDir WEST , Links BBB- NE 
PASS: Zone F, inDir WEST , Links BBB- -- 
PASS: Zone G, inDir NORTH, Links ***- NE 
PASS: Zone G, inDir NORTH, Links ***- -- 
PASS: Zone G, inDir NORTH, Links **F- NE 
PASS: Zone G, inDir NORTH, Links **F- -- 
PASS: Zone G, inDir NORTH, Links **B- NE 
PASS: Zone G, inDir NORTH, Links **B- -- 
PASS: Zone G, inDir NORTH, Links *F*- NE 
PASS: Zone G, inDir NORTH, Links *F*- -- 
PASS: Zone G, inDir NORTH, Links *FF- NE 
PASS: Zone G, inDir NORTH, Links *FF- -- 
PASS: Zone G, inDir NORTH, Links *FB- NE 
PASS: Zone G, inDir NORTH, Links *FB- -- 
PASS: Zone G, inDir NORTH, Links *B*- NE 
PASS: Zone G, inDir NORTH, Links *B*- -- 
PASS: Zone G, inDir NORTH, Links *BF- NE 
PASS: Zone G, inDir NORTH, Links *BF- -- 
PASS: Zone G, inDir NORTH, Links *BB- NE 
PASS: Zone G, inDir NORTH, Links *BB- -- 
PASS: Zone G, inDir NORTH, Links F**- NE 
PASS: Zone G, inDir NORTH, Links F**- -- 
PASS: Zone G, inDir NORTH, Links F*F- NE 
PASS: Zone G, inDir NORTH, Links F*F- -- 
PASS: Zone G, inDir NORTH, Links F*B- NE 
PASS: Zone G, inDir NORTH, Links F*B- -- 
PASS: Zone G, inDir NORTH, Links FF*- NE 
