1053 Total Scenarios Tested.
1053 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone D, inDir SOUTH, Links -BBF -- 
PASS: Zone D, inDir SOUTH, Links -BBB -- 
PASS: Zone D, inDir WEST , Links -*** -- 
PASS: Zone D, inDir WEST , Links -**F -- 
PASS: Zone D, inDir WEST , Links -**B -- 
PASS: Zone D, inDir WEST , Links -*F* -- 
PASS: Zone D, inDir WEST , Links -*FF -- 
PASS: Zone D, inDir WEST , Links -*FB -- 
PASS: Zone D, inDir WEST , Links -*B* -- 
PASS: Zone D, inDir WEST , Links -*BF -- 
PASS: Zone D, inDir WEST , Links -*BB -- 
PASS: Zone D, inDir WEST , Links -F** -- 
PASS: Zone D, inDir WEST , Links -F*F -- 
PASS: Zone D, inDir WEST , Links -F*B -- 
PASS: Zone D, inDir WEST , Links -FF* -- 
PASS: Zone D, inDir WEST , Links -FFF -- 
PASS: Zone D, inDir WEST , Links -FFB -- 
PASS: Zone D, inDir WEST , Links -FB* -- 
PASS: Zone D, inDir WEST , Links -FBF -- 
PASS: Zone D, inDir WEST , Links -FBB -- 
PASS: Zone D, inDir WEST , Links -B** -- 
PASS: Zone D, inDir WEST , Links -B*F -- 
PASS: Zone D, inDir WEST , Links -B*B -- 
PASS: Zone D, inDir WEST , Links -BF* -- 
PASS: Zone D, inDir WEST , Links -BFF -- 
PASS: Zone D, inDir WEST , Links -BFB -- 
PASS: Zone D, inDir WEST , Links -BB* -- 
PASS: Zone D, inDir WEST , Links -BBF -- 
PASS: Zone D, inDir WEST , Links -BBB -- 
PASS: Zone E, inDir EAST , Links -*** -- 
PASS: Zone E, inDir EAST , Links -**F -- 
PASS: Zone E, inDir EAST , Links -**B -- 
PASS: Zone E, inDir EAST , Links -*F* -- 
PASS: Zone E, inDir EAST , Links -*FF -- 
PASS: Zone E, inDir EAST , Links -*FB -- 
PASS: Zone E, inDir EAST , Links -*B* -- 
PASS: Zone E, inDir EAST , Links -*BF -- 
PASS: Zone E, inDir EAST , Links -*BB -- 
PASS: Zone E, inDir EAST , Links -F** -- 
PASS: Zone E, inDir EAST , Links -F*F -- 
PASS: Zone E, inDir EAST , Links -F*B -- 
PASS: Zone E, inDir EAST , Links -FF* -- 
PASS: Zone E, inDir EAST , Links -FFF -- 
PASS: Zone E, inDir EAST , Links -FFB -- 
PASS: Zone E, inDir EAST , Links -FB* -- 
PASS: Zone E, inDir EAST , Links -FBF -- 
PASS: Zone E, inDir EAST , Links -FBB -- 
PASS: Zone E, inDir EAST , Links -B** -- 
PASS: Zone E, inDir EAST , Links -B*F -- 
PASS: Zone E, inDir EAST , Links -B*B -- 
PASS: Zone E, inDir EAST , Links -BF* -- 
PASS: Zone E, inDir EAST , Links -BFF -- 
PASS: Zone E, inDir EAST , Links -BFB -- 
PASS: Zone E, inDir EAST , Links -BB* -- 
PASS: Zone E, inDir EAST , Links -BBF -- 
PASS: Zone E, inDir EAST , Links -BBB -- 
PASS: Zone E, inDir SOUTH, Links -*** -- 
PASS: Zone E, inDir SOUTH, Links -**F -- 
PASS: Zone E, inDir SOUTH, Links -**B -- 
PASS: Zone E, inDir SOUTH, Links -*F* -- 
PASS: Zone E, inDir SOUTH, Links -*FF -- 
PASS: Zone E, inDir SOUTH, Links -*FB -- 
PASS: Zone E, inDir SOUTH, Links -*B* -- 
PASS: Zone E, inDir SOUTH, Links -*BF -- 
PASS: Zone E, inDir SOUTH, Links -*BB -- 
PASS: Zone E, inDir SOUTH, Links -F** -- 
PASS: Zone E, inDir SOUTH, Links -F*F -- 
PASS: Zone E, inDir SOUTH, Links -F*B -- 
PASS: Zone E, inDir SOUTH, Links -FF* -- 
PASS: Zone E, inDir SOUTH, Links -FFF -- 
PASS: Zone E, inDir SOUTH, Links -FFB -- 
PASS: Zone E, inDir SOUTH, Links -FB* -- 
PASS: Zone E, inDir SOUTH, Links -FBF -- 
PASS: Zone E, inDir SOUTH, Links -FBB -- 
PASS: Zone E, inDir SOUTH, Links -B** -- 
PASS: Zone E, inDir SOUTH, Links -B*F -- 
PASS: Zone E, inDir SOUTH, Links -B*B -- 
PASS: Zone E, inDir SOUTH, Links -BF* -- 
PASS: Zone E, inDir SOUTH, Links -BFF -- 
PASS: Zone E, inDir SOUTH, Links -BFB -- 
PASS: Zone E, inDir SOUTH, Links -BB* -- 
PASS: Zone E, inDir SOUTH, Links -BBF -- 
PASS: Zone E, inDir SOUTH, Links -BBB -- 
PASS: Zone E, inDir WEST , Links -*** -- 
PASS: Zone E, inDir WEST , Links -**F -- 
PASS: Zone E, inDir WEST , Links -**B -- 
PASS: Zone E, inDir WEST , Links -*F* -- 
PASS: Zone E, inDir WEST , Links -*FF -- 
PASS: Zone E, inDir WEST , Links -*FB -- 
PASS: Zone E, inDir WEST , Links -*B* -- 
PASS: Zone E, inDir WEST , Links -*BF -- 
